Country,year,Population,area
Iceland,1962,182640.0,103000.0
India,1962,468054145.0,3287260.0
Indonesia,1962,92558006.0,1904570.0
Iran,1962,23071426.0,1745150.0
Iraq,1962,7674220.0,438320.0
Ireland,1962,2821742.0,70280.0
Isle of Man,1962,48580.0,570.0
Israel,1962,2264304.0,22070.0
Italy,1962,50458277.0,301340.0
Jamaica,1962,1681222.0,10990.0
Japan,1962,94263646.0,377800.0
Jordan,1962,962783.0,88780.0
Kazakhstan,1962,10819503.0,2724900.0
Kenya,1962,8628973.0,580370.0
Kiribati,1962,43312.0,810.0
Kosovo,1962,1361244.0,10887.0
Kuwait,1962,335161.0,17820.0
Kyrgyzstan,1962,2323642.0,199950.0
Laos,1962,2219964.0,236800.0
Latvia,1962,2185016.0,64550.0
Lebanon,1962,1925276.0,10450.0
Lesotho,1962,881910.0,30360.0
Liberia,1962,1170267.0,111370.0
Libya,1962,1536196.0,1759540.0
Liechtenstein,1962,17298.0,160.0
Lithuania,1962,2847221.0,65300.0
Luxembourg,1962,320704.0,
"Macao, China",1962,181025.0,28.0
"Macedonia, FYR",1962,1527105.0,25710.0
Madagascar,1962,5352674.0,587040.0
Malawi,1962,3784444.0,118480.0
Malaysia,1962,8710678.0,330800.0
Maldives,1962,94909.0,300.0
Mali,1962,5381369.0,1240190.0
Malta,1962,310325.0,320.0
Marshall Islands,1962,15545.0,
Mauritania,1962,909172.0,1030700.0
Mauritius,1962,698307.0,2040.0
Mayotte,1962,26538.0,370.0
Mexico,1962,40649590.0,1964380.0
"Micronesia, Fed. Sts.",1962,47387.0,700.0
Moldova,1962,3145546.0,33760.0
Monaco,1962,23042.0,2.0
Mongolia,1962,1011328.0,1564120.0
Montenegro,1962,509708.0,13810.0
Morocco,1962,13100843.0,446550.0
Mozambique,1962,7799396.0,799380.0
Myanmar,1962,22446690.0,676590.0
Namibia,1962,632658.0,824290.0
Nepal,1962,10377061.0,147180.0
Netherlands,1962,11735896.0,41530.0
New Caledonia,1962,83221.0,18580.0
New Zealand,1962,2477328.0,267710.0
Nicaragua,1962,1886560.0,130370.0
Niger,1962,3596613.0,1267000.0
Nigeria,1962,47117859.0,923770.0
Northern Mariana Islands,1962,10541.0,
Norway,1962,3638791.0,323800.0
Oman,1962,578825.0,309500.0
Pakistan,1962,47122931.0,796100.0
Palau,1962,10150.0,
Panama,1962,1202372.0,75420.0
Papua New Guinea,1962,2037165.0,462840.0
Paraguay,1962,2005337.0,406750.0
Peru,1962,10650672.0,1285220.0
Philippines,1962,28081234.0,300000.0
Poland,1962,30530513.0,312690.0
Portugal,1962,8917020.0,92120.0
